#{"t_start": 1733347425.590669, "env_id": "None"}
r,l,t
0.0,240,1.335947
0.0,240,1.46958
0.0,240,1.607158
0.0,240,1.740023
0.0,240,2.107715
0.0,240,2.242006
0.0,240,2.372011
0.0,240,2.501029
0.0,240,3.693524
0.0,240,3.831804
0.0,240,3.963377
0.0,240,4.093229
0.0,240,4.451163
0.0,240,4.581496
0.0,240,4.707705
0.0,240,4.834938
0.0,240,5.184037
0.0,240,6.108095
0.0,240,6.252591
0.0,240,6.38625
0.0,240,6.751157
0.0,240,6.882318
0.0,240,7.013195
0.0,240,7.143021
0.0,240,7.274733
0.0,240,8.444872
0.0,240,8.582747
0.0,240,8.712903
0.0,240,8.840925
0.0,240,9.19778
0.0,240,9.328507
0.0,240,9.458977
0.0,240,9.586799
0.0,240,9.947762
0.0,240,10.864676
0.0,240,11.004342
0.0,240,11.135812
0.0,240,11.494075
0.0,240,11.628032
0.0,240,11.758936
0.0,240,11.887069
0.0,240,12.250375
0.0,240,13.192182
0.0,240,13.339046
0.0,240,13.468858
0.0,240,13.824082
0.0,240,13.96281
0.0,240,14.091269
0.0,240,14.225971
0.0,240,14.358471
0.0,240,14.71976
0.0,240,15.64957
0.0,240,15.791088
0.0,240,15.921347
0.0,240,16.40186
0.0,240,16.535718
0.0,240,16.667308
0.0,240,16.799384
0.0,240,17.163044
0.0,240,18.263799
0.0,240,18.430492
0.0,240,18.57879
0.0,240,18.938575
0.0,240,19.068114
0.0,240,19.195704
0.0,240,19.325564
0.0,240,19.682748
0.0,240,19.810519
0.0,240,20.768984
0.0,240,20.907887
0.0,240,21.262814
0.0,240,21.402612
0.0,240,21.535773
0.0,240,21.666984
0.0,240,21.797073
0.0,240,22.143212
0.0,240,23.076873
0.0,240,23.217375
0.0,240,23.350614
0.0,240,23.71423
0.0,240,23.855662
0.0,240,23.993879
0.0,240,24.135608
0.0,240,24.532426
0.0,240,24.670081
0.0,240,25.710199
0.0,240,25.860931
0.0,240,26.29586
0.0,240,26.464334
0.0,240,26.604283
0.0,240,26.769583
0.0,240,27.205777
0.0,240,27.356193
0.0,240,28.449257
0.0,240,28.647564
0.0,240,29.16695
0.0,240,29.332038
0.0,240,29.502762
0.0,240,29.668453
0.0,240,29.834997
0.0,240,30.267789
0.0,240,30.424661
0.0,240,31.397907
0.0,240,31.550604
0.0,240,31.93429
0.0,240,32.095251
0.0,240,32.404343
0.0,240,32.561876
0.0,240,32.970227
0.0,240,33.133368
0.0,240,34.16239
0.0,240,34.341528
0.0,240,34.702577
0.0,240,34.836709
0.0,240,34.974917
0.0,240,35.116607
0.0,240,35.510201
0.0,240,35.657987
0.0,240,35.799621
0.0,240,36.739353
0.0,240,37.108509
0.0,240,37.242351
0.0,240,37.388835
0.0,240,37.526233
0.0,240,37.670053
0.0,240,38.072099
0.0,240,38.214524
0.0,240,38.385921
0.0,240,39.386919
0.0,240,39.78375
0.0,240,39.932038
0.0,240,40.069163
0.0,240,40.205678
0.0,240,40.573842
0.0,240,40.71422
0.0,240,40.854343
0.0,240,41.990263
0.0,240,42.40412
0.0,240,42.545623
0.0,240,42.690513
0.0,240,42.824055
0.0,240,43.19318
0.0,240,43.345578
0.0,240,43.491219
0.0,240,43.630489
0.0,240,44.858366
0.0,240,45.000545
0.0,240,45.144334
0.0,240,45.30014
0.0,240,45.448531
0.0,240,45.823377
0.0,240,45.957746
0.0,240,46.104811
0.0,240,47.364019
0.0,240,47.784734
0.0,240,47.967728
0.0,240,48.124007
0.0,240,48.32549
0.0,240,48.868277
0.0,240,49.015529
0.0,240,49.172959
0.0,240,49.32314
0.0,240,50.533579
0.0,240,50.672316
0.0,240,50.832678
0.0,240,50.997515
0.0,240,51.382648
0.0,240,51.530519
0.0,240,51.675542
0.0,240,51.815579
0.0,240,53.178369
0.0,240,53.349199
0.0,240,53.527696
0.0,240,53.691265
0.0,240,53.855933
0.0,240,54.293712
0.0,240,54.471199
0.0,240,54.633368
0.0,240,54.788739
0.0,240,56.067568
0.0,240,56.215778
0.0,240,56.362593
0.0,240,56.521119
0.0,240,56.949506
0.0,240,57.092531
0.0,240,57.239638
0.0,240,57.388504
0.0,240,58.888988
0.0,240,59.061439
0.0,240,59.251208
0.0,240,59.431697
0.0,240,59.897804
